measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Portsmouth,Both,5 to 9,Years,1993,71.17326775,71.58183673,70.76228417
Life expectancy,Portsmouth,Male,10 to 14,Years,1993,63.05483509,63.597687,62.54038567
Life expectancy,Portsmouth,Female,10 to 14,Years,1993,69.36637798,69.98622802,68.73368321
Life expectancy,Portsmouth,Both,10 to 14,Years,1993,66.22359125,66.63437625,65.81342174
Life expectancy,Portsmouth,Male,15 to 19,Years,1993,58.12097824,58.66151283,57.60871684
Life expectancy,Portsmouth,Female,15 to 19,Years,1993,64.41597119,65.03578316,63.78560491
Life expectancy,Portsmouth,Both,15 to 19,Years,1993,61.28222014,61.69163973,60.87354742
Life expectancy,Portsmouth,Male,20 to 24,Years,1993,53.30211633,53.83494926,52.79748085
Life expectancy,Portsmouth,Female,20 to 24,Years,1993,59.499127,60.11729603,58.87193016
Life expectancy,Portsmouth,Both,20 to 24,Years,1993,56.42111187,56.8276264,56.01746698
Life expectancy,Portsmouth,Male,25 to 29,Years,1993,48.55608538,49.08028227,48.06091818
Life expectancy,Portsmouth,Female,25 to 29,Years,1993,54.58958883,55.20166612,53.96879846
Life expectancy,Portsmouth,Both,25 to 29,Years,1993,51.60654982,52.00926653,51.20748345
Life expectancy,Portsmouth,Male,30 to 34,Years,1993,43.79038163,44.30855697,43.30135261
Life expectancy,Portsmouth,Female,30 to 34,Years,1993,49.68873386,50.29311705,49.07608892
Life expectancy,Portsmouth,Both,30 to 34,Years,1993,46.78185511,47.1806207,46.38771357
Life expectancy,Portsmouth,Male,35 to 39,Years,1993,39.02271796,39.53468246,38.54016567
Life expectancy,Portsmouth,Female,35 to 39,Years,1993,44.81319174,45.40856317,44.20941137
Life expectancy,Portsmouth,Both,35 to 39,Years,1993,41.96850657,42.36244299,41.57993869
Life expectancy,Portsmouth,Male,40 to 44,Years,1993,34.31282329,34.81524966,33.84019705
Life expectancy,Portsmouth,Female,40 to 44,Years,1993,39.9859067,40.56903421,39.39417423
Life expectancy,Portsmouth,Both,40 to 44,Years,1993,37.21049693,37.5979524,36.82904329
Life expectancy,Portsmouth,Male,45 to 49,Years,1993,29.67654448,30.16508186,29.21807665
Life expectancy,Portsmouth,Female,45 to 49,Years,1993,35.24676229,35.81253857,34.6722628
Life expectancy,Portsmouth,Both,45 to 49,Years,1993,32.53097105,32.90857404,32.16033789
Life expectancy,Portsmouth,Male,50 to 54,Years,1993,25.19729783,25.6628743,24.76138586
Life expectancy,Portsmouth,Female,50 to 54,Years,1993,30.61354994,31.15560719,30.06323693
Life expectancy,Portsmouth,Both,50 to 54,Years,1993,27.98895011,28.35223633,27.63324308
Life expectancy,Portsmouth,Male,55 to 59,Years,1993,20.97261449,21.4041616,20.56959139
Life expectancy,Portsmouth,Female,55 to 59,Years,1993,26.12315038,26.63366832,25.60551571
Life expectancy,Portsmouth,Both,55 to 59,Years,1993,23.6563497,23.99558926,23.32139514
Life expectancy,Portsmouth,Male,60 to 64,Years,1993,17.05935836,17.44546848,16.70010552
Life expectancy,Portsmouth,Female,60 to 64,Years,1993,21.8360008,22.30438317,21.36135068
Life expectancy,Portsmouth,Both,60 to 64,Years,1993,19.59315091,19.89919148,19.28588468
Life expectancy,Portsmouth,Male,65 to 69,Years,1993,13.54502617,13.87859909,13.23655772
Life expectancy,Portsmouth,Female,65 to 69,Years,1993,17.83753872,18.25649135,17.41429839
Life expectancy,Portsmouth,Both,65 to 69,Years,1993,15.88983005,16.15824437,15.61500389
Life expectancy,Portsmouth,Male,70 to 74,Years,1993,10.49897964,10.77379573,10.24599905
Life expectancy,Portsmouth,Female,70 to 74,Years,1993,14.15907751,14.52727192,13.78997031
Life expectancy,Portsmouth,Both,70 to 74,Years,1993,12.5728729,12.79930472,12.33378239
Life expectancy,Portsmouth,Male,75 to 79,Years,1993,8.190962174,8.399365146,7.999661185
Life expectancy,Portsmouth,Female,75 to 79,Years,1993,11.01554784,11.32023562,10.71144911
Life expectancy,Portsmouth,Both,75 to 79,Years,1993,9.883042308,10.06759063,9.688112258
Life expectancy,Portsmouth,Male,<1 year,Years,1993,72.38733265,72.92488486,71.86918541
Life expectancy,Portsmouth,Female,<1 year,Years,1993,78.7322283,79.33792301,78.09755981
Life expectancy,Portsmouth,Both,<1 year,Years,1993,75.56935348,75.96894547,75.1475122
Life expectancy,Portsmouth,Male,80 to 84,Years,1993,5.969818649,6.118054694,5.831670134
Life expectancy,Portsmouth,Female,80 to 84,Years,1993,8.048426569,8.291504807,7.807510107
Life expectancy,Portsmouth,Both,80 to 84,Years,1993,7.308654311,7.458599559,7.14824626
Life expectancy,Portsmouth,Male,85 to 89,Years,1993,4.423692949,4.519914843,4.332788581
Life expectancy,Portsmouth,Female,85 to 89,Years,1993,5.733856799,5.921957305,5.548208627
Life expectancy,Portsmouth,Both,85 to 89,Years,1993,5.340054372,5.463785519,5.210214217
Life expectancy,Portsmouth,Male,90 to 94,Years,1993,3.119772128,3.180667893,3.06364412
Life expectancy,Portsmouth,Female,90 to 94,Years,1993,3.962082755,4.089405808,3.83732799
Life expectancy,Portsmouth,Both,90 to 94,Years,1993,3.765619482,3.857234861,3.671586111
Life expectancy,Isle of Wight,Male,1 to 4,Years,1993,73.78002226,74.4635336,73.10631904
Life expectancy,Isle of Wight,Female,1 to 4,Years,1993,79.08381477,79.80904878,78.37754364
Life expectancy,Isle of Wight,Both,1 to 4,Years,1993,76.51033796,77.03406627,76.02622661
Life expectancy,Isle of Wight,Male,5 to 9,Years,1993,69.89550492,70.58081075,69.21909617
Life expectancy,Isle of Wight,Female,5 to 9,Years,1993,75.30603641,76.02667973,74.59338044
Life expectancy,Isle of Wight,Both,5 to 9,Years,1993,72.67586725,73.19269014,72.18395267
Life expectancy,Isle of Wight,Male,10 to 14,Years,1993,64.947047,65.63340535,64.27013702
Life expectancy,Isle of Wight,Female,10 to 14,Years,1993,70.34953511,71.07119922,69.63479998
Life expectancy,Isle of Wight,Both,10 to 14,Years,1993,67.72383015,68.24007856,67.22997762
Life expectancy,Isle of Wight,Male,15 to 19,Years,1993,60.00570504,60.69083204,59.33034673
Life expectancy,Isle of Wight,Female,15 to 19,Years,1993,65.39568378,66.11614156,64.68170022
Life expectancy,Isle of Wight,Both,15 to 19,Years,1993,62.77685281,63.29512131,62.28324005
Life expectancy,Isle of Wight,Male,20 to 24,Years,1993,55.16036641,55.83815129,54.49313164
Life expectancy,Isle of Wight,Female,20 to 24,Years,1993,60.47292927,61.18980471,59.76130467
Life expectancy,Isle of Wight,Both,20 to 24,Years,1993,57.8959272,58.4103362,57.40407412
Life expectancy,Isle of Wight,Male,25 to 29,Years,1993,50.38343986,51.05029102,49.72700893
Life expectancy,Isle of Wight,Female,25 to 29,Years,1993,55.55415526,56.26453265,54.84936498
Life expectancy,Isle of Wight,Both,25 to 29,Years,1993,53.05357844,53.56056236,52.56778292
Life expectancy,Isle of Wight,Male,30 to 34,Years,1993,45.59657363,46.25529294,44.94801293
Life expectancy,Isle of Wight,Female,30 to 34,Years,1993,50.64186814,51.344417,49.9455661
Life expectancy,Isle of Wight,Both,30 to 34,Years,1993,48.20782992,48.70928327,47.72751741
Life expectancy,Isle of Wight,Male,35 to 39,Years,1993,40.80768095,41.45850261,40.16681743
Life expectancy,Isle of Wight,Female,35 to 39,Years,1993,45.75283421,46.44591845,45.0664894
Life expectancy,Isle of Wight,Both,35 to 39,Years,1993,43.37157066,43.86676885,42.89717149
Life expectancy,Isle of Wight,Male,40 to 44,Years,1993,36.06511075,36.70457279,35.43606318
Life expectancy,Isle of Wight,Female,40 to 44,Years,1993,40.90723581,41.58772467,40.23429976
Life expectancy,Isle of Wight,Both,40 to 44,Years,1993,38.58067095,39.06693358,38.11470462
Life expectancy,Isle of Wight,Male,45 to 49,Years,1993,31.38118486,32.0039645,30.76911924
Life expectancy,Isle of Wight,Female,45 to 49,Years,1993,36.14196925,36.80400349,35.48800473
Life expectancy,Isle of Wight,Both,45 to 49,Years,1993,33.85982631,34.33334458,33.406244
Life expectancy,Isle of Wight,Male,50 to 54,Years,1993,26.82459092,27.42133462,26.23956751
Life expectancy,Isle of Wight,Female,50 to 54,Years,1993,31.47262159,32.10958141,30.8449108
Life expectancy,Isle of Wight,Both,50 to 54,Years,1993,29.25436443,29.70787734,28.82023894
Life expectancy,Isle of Wight,Male,55 to 59,Years,1993,22.4858109,23.04396335,21.94042593
Life expectancy,Isle of Wight,Female,55 to 59,Years,1993,26.93353454,27.53634429,26.34145313
Life expectancy,Isle of Wight,Both,55 to 59,Years,1993,24.8297955,25.2559965,24.42273105
Life expectancy,Isle of Wight,Male,60 to 64,Years,1993,18.41922709,18.92439978,17.92724208
Life expectancy,Isle of Wight,Female,60 to 64,Years,1993,22.58234781,23.14007208,22.03673766
Life expectancy,Isle of Wight,Both,60 to 64,Years,1993,20.63919424,21.03128296,20.2687543
Life expectancy,Isle of Wight,Male,65 to 69,Years,1993,14.72620559,15.16875006,14.29494666
Life expectancy,Isle of Wight,Female,65 to 69,Years,1993,18.50667226,19.00973488,18.01690113
Life expectancy,Isle of Wight,Both,65 to 69,Years,1993,16.77484524,17.12534789,16.45009065
Life expectancy,Isle of Wight,Male,70 to 74,Years,1993,11.48070426,11.85245521,11.11960837
Life expectancy,Isle of Wight,Female,70 to 74,Years,1993,14.74547528,15.18810945,14.31550284
Life expectancy,Isle of Wight,Both,70 to 74,Years,1993,13.30356397,13.60146039,13.02526673
Life expectancy,Isle of Wight,Male,75 to 79,Years,1993,8.939464053,9.22663965,8.664391244
Life expectancy,Isle of Wight,Female,75 to 79,Years,1993,11.49982263,11.86804485,11.14435502
Life expectancy,Isle of Wight,Both,75 to 79,Years,1993,10.43650838,10.6764644,10.20909844
Life expectancy,Isle of Wight,Male,<1 year,Years,1993,74.33508981,75.01187498,73.64646335
Life expectancy,Isle of Wight,Female,<1 year,Years,1993,79.75671895,80.46907409,79.05150092
Life expectancy,Isle of Wight,Both,<1 year,Years,1993,77.11878781,77.63343233,76.64018309
Life expectancy,Isle of Wight,Male,80 to 84,Years,1993,6.505600665,6.713710787,6.307521835
Life expectancy,Isle of Wight,Female,80 to 84,Years,1993,8.433534886,8.72932099,8.148250393
Life expectancy,Isle of Wight,Both,80 to 84,Years,1993,7.68934968,7.880655258,7.509206958
Life expectancy,Isle of Wight,Male,85 to 89,Years,1993,4.773449906,4.911329553,4.643903093
Life expectancy,Isle of Wight,Female,85 to 89,Years,1993,6.030489348,6.26027532,5.810017128
Life expectancy,Isle of Wight,Both,85 to 89,Years,1993,5.611891931,5.759707841,5.465358687
Life expectancy,Isle of Wight,Male,90 to 94,Years,1993,3.344116508,3.434354182,3.259457599
Life expectancy,Isle of Wight,Female,90 to 94,Years,1993,4.161587227,4.316454542,4.012942834
Life expectancy,Isle of Wight,Both,90 to 94,Years,1993,3.956122719,4.066457103,3.844674829
Life expectancy,Milton Keynes,Male,1 to 4,Years,1993,74.56339753,75.15451656,73.94432347
Life expectancy,Milton Keynes,Female,1 to 4,Years,1993,78.65676575,79.24960287,78.06922281
Life expectancy,Milton Keynes,Both,1 to 4,Years,1993,76.7035687,77.11577065,76.29076183
Life expectancy,Milton Keynes,Male,5 to 9,Years,1993,70.63885937,71.231143,70.01880749
Life expectancy,Milton Keynes,Female,5 to 9,Years,1993,74.75677195,75.35513641,74.17233472
Life expectancy,Milton Keynes,Both,5 to 9,Years,1993,72.79086923,73.20119082,72.36804079
Life expectancy,Milton Keynes,Male,10 to 14,Years,1993,65.69487918,66.28732683,65.07533732
Life expectancy,Milton Keynes,Female,10 to 14,Years,1993,69.80216063,70.4024756,69.21710423
Life expectancy,Milton Keynes,Both,10 to 14,Years,1993,67.84214327,68.25412319,67.41978104
Life expectancy,Milton Keynes,Male,15 to 19,Years,1993,60.7543663,61.34515074,60.13703765
Life expectancy,Milton Keynes,Female,15 to 19,Years,1993,64.85073829,65.45040114,64.26705459
Life expectancy,Milton Keynes,Both,15 to 19,Years,1993,62.89667283,63.30867663,62.47585447
Life expectancy,Milton Keynes,Male,20 to 24,Years,1993,55.90366363,56.48765444,55.29414489
Life expectancy,Milton Keynes,Female,20 to 24,Years,1993,59.93189724,60.52964398,59.35111222
